file,duration_s,distance_m,speed_min,speed_max,speed_mean
VM2_553381035,112.0,424.519134031025,0.742039936841104,20.713221949429443,3.6990656199383984
VM2_1454192820,1550.0,6591.467086286905,0.0,8.542189386772984,4.249168864039451
VM2_184611537,987.0,4500.953443978938,0.0031024585574912574,9.09974588771727,4.546649530825419
VM2_406363260,318.0,1708.8685877133998,0.028412379347473166,16.45941932646043,5.321240890083352
VM2_170759539,13858.0,34382.48032335208,0.0,15.807493990882733,2.48289068466213
VM2_653670576,1263.0,7186.436071275463,0.004126177524965719,9.043211106019367,5.677153460034424
VM2_755689081,993.0,3941.5978707829645,0.003165227949380737,16.042698071271335,3.9540146614539635
VM2_447910547,1556.0,6401.946300853415,0.002516093353635908,10.166042788845978,4.109912792433916
VM2_730765450,1272.0,5169.546590584176,0.0,8.156051912060702,4.054469837754295
VM2_-1823961485,723.0,3898.120984080176,0.0,8.956200409163692,5.349948505609092
VM2_-1657273583,871.0,4062.291863323781,0.0,13.541663553902907,4.629752568331845
VM2_-1135851613,1562.0,7011.316072812083,0.0,17.28659109696021,4.475449094819847
VM2_1495612068,318.0,1056.758923306302,0.0,5.578166667550788,3.3055147870738604
VM2_-435506321,1460.0,8251.192549164398,0.002596456490463615,14.165214063662003,5.632533197330715
VM2_1101221163,2185.0,8524.98069864317,0.0,9.069635938350924,3.894911985115345
VM2_310464317,1636.0,8753.486181118558,0.0,8.774829092422847,5.341988194255677
VM2_-915570579,1512.0,7884.414872554986,0.0036521771588205265,10.72477371583974,5.2006251070346154
VM2_-1979128083,556.0,2967.4598460133284,0.008649456790035452,10.418426296494701,5.291694418789545
VM2_-1018448276,1790.0,9010.66517785034,0.0,10.080493635138486,4.770769482990402
VM2_1376440900,1314.0,6681.460282031059,0.003597243413990128,18.372897519879544,5.077179072656816
VM2_-951181513,478.0,1545.0988418085349,0.0,7.067901325015354,3.2476093933144132
VM2_-1165535499,1441.0,7284.7148850962,0.0007756835020645871,8.374339151182765,5.040022945524728
VM2_-811570182,1403.0,5166.804824155598,0.0011355409361112473,8.996429650373024,3.681919144957931
VM2_-25002078,1766.95,8190.515831424396,0.0,8.448195697385747,4.628118635880709
VM2_-1577875753,616.0,2997.1860270003294,0.0,16.404618414015953,4.828899896686846
VM2_-258693075,284.0,1128.6568323590202,0.04260456701600062,24.078794749646264,3.928283391215053
VM2_-1636646805,606.0,2944.0812697141287,0.0,19.032264508845348,4.83027391437129
VM2_371548851,160.0,677.633069557479,0.19559891559833154,6.4656133273939425,4.154864029443995
VM2_-16692868,480.0,1978.752545362642,0.5614669680494696,7.792542352131452,4.0941339957257465
VM2_490082021,1363.0,6598.379819440746,0.0012012654187073942,9.977019697177967,4.8447734737230865
VM2_-567792076,1249.0,8251.866806552063,0.0031759090366630352,13.607757142500573,6.585560593079704
VM2_-1164049999,1387.0,5393.502911610728,0.0,8.715442549185008,3.8796839500602327
VM2_-2119419915,892.0,4091.744811188204,0.0048821350969075064,12.346748408385219,4.5744926096046745
VM2_1189299925,779.0,3162.3131545772035,0.001303388265951073,7.109745891492358,4.045857680701282
VM2_-1580361841,2109.0,12284.948352842246,0.0,9.946455943985589,5.819725384275951
VM2_586850969,478.0,2396.5455325211874,0.04038454813477372,24.51657786906222,5.002735392385471
VM2_-153206566,1929.0,7591.906490272536,0.0014084428418029745,15.132304999881868,3.9256464086900857
VM2_-819726991,605.0,2704.771589222355,0.015545192243312153,8.110925705535966,4.45442051341523
VM2_-1577569442,474.431,2070.269233289033,0.0,12.991446082616045,4.350925464555821
VM2_753799637,1454.0,6286.967014667026,0.0,7.330461426779032,4.319441204567139
VM2_-1058883047,300.0,1576.4204477918265,0.0,14.01442747702299,5.128286785644165
VM2_848150983,715.0,3752.4444228402253,0.041721194700330276,9.134508723145029,5.232510198184069
VM2_-1318615600,835.0,3379.202557460172,0.0,5.981754224725031,4.013847999268661
VM2_1365998549,2231.0,9239.709020567596,0.00043446728888217075,34.55685311703355,4.140640377276955
VM2_-1634328717,1229.0,7964.477009569169,0.0010149366051443393,8.859926790310883,6.462911566404091
VM2_1290805233,1649.0,10926.272429750925,0.0,10.137085047934287,6.611369901289944
VM2_-2073487821,566.0,2335.4872294045563,0.0,41.512631065848026,3.9661474356504436
VM2_694776567,263.0,1065.8558652353936,0.8291866115302193,5.521766491846861,4.00576704486435
VM2_35530820,956.0,3214.9563042702403,0.0005851510972949622,17.290080718433387,3.353356772441158
VM2_993649350,1179.0,7175.663308505278,0.010238100725940037,18.488899483413636,6.072759177695766
VM2_-39118233,248.0,585.1091655007939,0.0,5.306383518776631,2.327944176672161
VM2_-576510659,223.0,781.438504718607,0.0009049406381043835,26.407122143567566,3.4488018414844883
VM2_-1759695788,3511.0,17737.399968823313,0.0,9.648074846982025,5.0455041538989605
VM2_1023044483,2084.0,6942.858747032904,0.0,8.957556131630474,3.326120487835898
VM2_-1986617233,369.0,1802.6380692631778,1.284607086762923,8.081881090150985,4.83893595375398
VM2_-1183899260,2572.0,10874.747406569282,0.0,9.12746136166846,4.221294626415863
VM2_897982525,467.0,1876.0627591105167,0.2437332589059992,6.545007436053339,3.9804651851908512
VM2_216458103,2205.0,8970.925004879762,0.0,8.426854318239942,4.064681781284296
VM2_-666683098,824.0,4115.495207721527,0.00364184460500327,8.322995208794348,4.975816468856775
VM2_-348510271,2509.0,11221.667636211916,0.0,7.676827760842909,4.467391243361922
VM2_1480815776,1216.0,6383.2756524654105,0.0,11.794475593615818,5.215056568408191
VM2_1514682126,720.0,2227.0302065974056,0.0015008389147465545,7.799839536512896,3.076197119851579
VM2_-530436182,661.0,2832.5243747831655,0.0,6.373677006881571,4.270077281352333
VM2_-1018950119,932.0,3300.308642374367,0.0,6.1372299452701435,3.510031912509055
VM2_-1448368501,2562.0,12934.97200637548,0.0,9.465754050966298,4.310312291890008
VM2_24881827,1545.0,7883.052552434165,0.002521762999636899,11.000084604725059,5.095328969923535
VM2_1216300895,843.0,3700.293520532691,0.0036425399959768355,7.667286256114013,4.364468821453658
VM2_1044279777,587.0,1797.8173308597395,0.0032628931612658733,9.373339615176695,3.051425887188564
VM2_-904713694,776.0,3380.1980676362664,0.6158476376172745,7.778550407601114,4.344014480238848
VM2_-561122927,1046.0,5620.217219215842,0.0011899128389108538,10.638570158868008,5.370708044678487
VM2_-1752952368,1560.0,5109.119065772464,0.0018661358426620611,7.611754598889905,3.277071610336274
VM2_-1858709528,1415.0,7797.798820982569,0.0017380208810490129,10.992846599990964,5.501647677169278
VM2_-1714258184,329.0,1548.3484029257836,0.0,6.9223418778744445,4.5730533943319065
VM2_-897103961,429.0,1860.6003414947213,0.004466960530679797,7.500442559474375,4.301710104420203
VM2_-1927192236,539.0,2544.5953598823326,0.0,8.229127723358756,4.663049512124605
VM2_483756961,2469.0,11175.544862204486,0.0,8.964407573167108,4.52146428822407
VM2_-540275685,469.0,1985.6832026454622,0.1900870082463105,5.803463054488588,4.206138332584493
VM2_-1106646558,297.0,1054.6185130090857,0.0,6.595546080101321,3.509484694186744
VM2_-2090921528,236.0,801.5613080333243,0.03375872833148429,7.3904308025374545,3.359887296841771
VM2_34467106,388.0,1366.1902065867623,0.0,7.771536546931852,3.481176508624841
VM2_-760993823,2484.0,10928.979692908844,0.0,7.980512662063532,4.386401331508895
VM2_1447217163,840.0,3383.69886847098,0.0,7.365556195343269,3.119536086613443
VM2_-1181875228,2425.0,14164.149247104922,0.0,9.69005133339232,5.829989115733058
VM2_-227887116,2133.0,12375.52235767525,0.06064694699784012,15.415882661537035,5.785434059733335
VM2_-293212674,612.0,3094.1432624549034,0.0073583886311316404,10.053956654554625,5.020513593603922
VM2_-266780895,188.0,700.6951762194036,0.0,9.289055273986316,3.630079164541793
VM2_-1500431171,341.0,1372.1556037287692,0.004312939506167047,7.180131830219552,3.997431119150613
VM2_-146432058,2550.0,14150.743577833826,0.0,10.414012510263179,5.5418825099738545
VM2_216502668,296.0,1382.9078507181678,2.7035664414229346,6.165310522853834,4.627009983596534
VM2_-869000796,1915.0,12288.335248754629,0.0,11.064383888656081,6.405093648902776
VM2_-541201061,2588.0,11209.874276730363,0.0,8.18851702653046,4.323409178887381
VM2_689214746,171.0,673.3372475653691,0.9968683609388233,4.973394441372676,3.8901861910156432
VM2_-1239244991,891.0,3897.0885865282035,0.0034763452633306637,24.256684383609635,4.352943007461961
VM2_-916743141,1888.0,11245.9114731785,0.0,10.070175104510135,5.942682373646738
VM2_-1433415273,1066.0,7149.430297871203,0.15076027165840714,10.380238445362076,6.6860256313327655
