[SedonaDB] [aviation] query: flightsInCountyInPeriod: 81.56647699797759ms, result count: 197
[SedonaDB] [aviation] query: flightsInCountyInPeriod: 55.38865499693202ms, result count: 29
[SedonaDB] [aviation] query: FlightUpdatesInPeriod: 26.093458996911068ms, result count: 1779
[SedonaDB] [aviation] query: airportUtilizationInPeriod: 131.96257300296566ms, result count: 158
[SedonaDB] [aviation] query: flightsInCountyInPeriod: 78.53243400313659ms, result count: 169
[SedonaDB] [aviation] query: FlightUpdatesInPeriod: 24.287940002977848ms, result count: 950
[SedonaDB] [aviation] query: countFlightsInCounties: 203.38078099302948ms, result count: 1
[SedonaDB] [aviation] query: airportUtilizationInPeriod: 130.1213420010754ms, result count: 150
[SedonaDB] [aviation] query: FlightUpdatesInPeriod: 26.78195900080027ms, result count: 2227
[SedonaDB] [aviation] query: flightsInCountyInPeriod: 75.18811299814843ms, result count: 215
[SedonaDB] [aviation] query: inCityRadiusInPeriod: 151.36251500371145ms, result count: 2
[SedonaDB] [aviation] query: inCityRadiusInPeriod: 138.06336099514738ms, result count: 4
[SedonaDB] [aviation] query: countFlightsInCounties: 195.09538500278722ms, result count: 1
[SedonaDB] [aviation] query: flightsInCountyInPeriod: 60.506125999381766ms, result count: 57
[SedonaDB] [aviation] query: FlightUpdatesInPeriod: 19.747184996958822ms, result count: 288
[SedonaDB] [aviation] query: FlightUpdatesInPeriod: 25.194059002387803ms, result count: 495
[SedonaDB] [aviation] query: flightClosestToPoint: 105.67024600459263ms, result count: 0
[SedonaDB] [aviation] query: flightsInCountyInPeriod: 57.219271002395544ms, result count: 26
[SedonaDB] [aviation] query: countFlightsInCounties: 174.6280459992704ms, result count: 1
[SedonaDB] [aviation] query: airportUtilizationInPeriod: 134.23316399712348ms, result count: 302
[SedonaDB] [aviation] query: countFlightsInCounties: 196.08510499529075ms, result count: 1
[SedonaDB] [aviation] query: inCityRadiusInPeriod: 155.17487099714344ms, result count: 2
[SedonaDB] [aviation] query: flightClosestToPoint: 100.94952399958856ms, result count: 0
[SedonaDB] [aviation] query: flightsInCountyInPeriod: 78.6855469996226ms, result count: 337
[SedonaDB] [aviation] query: inCityRadiusInPeriod: 117.21428099554032ms, result count: 1
[SedonaDB] [aviation] query: flightsInCountyInPeriod: 61.52657399798045ms, result count: 39
[SedonaDB] [aviation] query: flightsInCountyInPeriod: 61.802464006177615ms, result count: 44
[SedonaDB] [aviation] query: FlightUpdatesInPeriod: 24.527564004529268ms, result count: 1464
[SedonaDB] [aviation] query: inCityRadiusInPeriod: 160.44259000045713ms, result count: 20
[SedonaDB] [aviation] query: inCityRadiusInPeriod: 157.27689399500377ms, result count: 5
[SedonaDB] [aviation] query: flightsInCountyInPeriod: 74.33537000179058ms, result count: 65
[SedonaDB] [aviation] query: airportUtilizationInPeriod: 132.34280699543888ms, result count: 122
[SedonaDB] [aviation] query: flightClosestToPoint: 93.57503699720837ms, result count: 1
[SedonaDB] [aviation] query: flightClosestToPoint: 88.63891100190813ms, result count: 1
[SedonaDB] [aviation] query: inCityRadiusInPeriod: 109.54505299741868ms, result count: 1
[SedonaDB] [aviation] query: countFlightsInCounties: 191.0009010025533ms, result count: 1
[SedonaDB] [aviation] query: inCityRadiusInPeriod: 138.1770410007448ms, result count: 3
[SedonaDB] [aviation] query: flightsInCountyInPeriod: 54.48638700181618ms, result count: 37
[SedonaDB] [aviation] query: flightsInCountyInPeriod: 58.62556400097674ms, result count: 27
[SedonaDB] [aviation] query: airportUtilizationInPeriod: 134.2683430048055ms, result count: 195
[SedonaDB] [aviation] query: flightClosestToPoint: 97.25701300340006ms, result count: 1
[SedonaDB] [aviation] query: FlightUpdatesInPeriod: 17.31204299721867ms, result count: 2052
[SedonaDB] [aviation] query: airportUtilizationInPeriod: 140.0512370018987ms, result count: 376
