[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 7.98230801592581ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 3.1917120213620365ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 573.9313070080243ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 99.27500097546726ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 8.457885996904224ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 3.1725250009912997ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 3.994271013652906ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 51.90542701166123ms, result count: 2
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 4.751050990307704ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 117.62885600910522ms, result count: 0
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 5.2754629869014025ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 5.828510009450838ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 2.2083920193836093ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 555.4240760102402ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 50.427640991983935ms, result count: 0
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 55.89938399498351ms, result count: 0
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 4.783519980264828ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 46.739666984649375ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 4.887706018052995ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 2.5519980117678642ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 117.37810200429522ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 597.4984950153157ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 2.656951983226463ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 47.99415697925724ms, result count: 125
[SedonaDB] [ais] query: HarbourActivityInPeriod: 128.5102639812976ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 54.95350499404594ms, result count: 0
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 4.961816011928022ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 4.218200978357345ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 117.02127198805101ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 120.25744598940946ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 561.0668270091992ms, result count: 0
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 3.651574981631711ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 1252.1646600216627ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 113.34093799814582ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 8.420020982157439ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 117.41603998234496ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 76.58028599689715ms, result count: 0
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 4.424464015755802ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 104.32172002037987ms, result count: 1
