[SedonaDB] [cycling] query: SortRidesByHourInPeriod: 81.87082293443382ms, result count: 18
[SedonaDB] [cycling] query: SortRidesByHourInPeriod: 87.6344470307231ms, result count: 15
[SedonaDB] [cycling] query: averageRideDurationToGoAtUniversityInPeriod: 6.102207000367343ms, result count: 1
[SedonaDB] [cycling] query: countActiveRideInDistrict: 646.4797749649733ms, result count: 1
[SedonaDB] [cycling] query: SortRidesByHourInPeriod: 89.37940804753453ms, result count: 17
[SedonaDB] [cycling] query: rideCrossSeveralDistrictsInPeriod: 306.57855002209544ms, result count: 27
[SedonaDB] [cycling] query: rideCrossSeveralDistrictsInPeriod: 343.53211196139455ms, result count: 13
[SedonaDB] [cycling] query: RidesPastOrToUniversity: 566.9931479496881ms, result count: 1198
[SedonaDB] [cycling] query: rideCrossSeveralDistrictsInPeriod: 326.1164929717779ms, result count: 35
[SedonaDB] [cycling] query: SortRidesByHourInPeriod: 92.50579692889005ms, result count: 16
[SedonaDB] [cycling] query: averageRideDurationDuringDay: 3.660456044599414ms, result count: 1
[SedonaDB] [cycling] query: rideCrossSeveralDistrictsInPeriod: 309.8121810471639ms, result count: 38
[SedonaDB] [cycling] query: countActiveRideInDistrict: 663.8832349563017ms, result count: 1
[SedonaDB] [cycling] query: averageRideDurationDuringDay: 4.861661000177264ms, result count: 1
[SedonaDB] [cycling] query: averageRideDurationToGoAtUniversityInPeriod: 8.022023946978152ms, result count: 1
[SedonaDB] [cycling] query: rideCrossSeveralDistrictsInPeriod: 116.51456204708666ms, result count: 0
[SedonaDB] [cycling] query: countActiveRideInDistrict: 587.2957460815087ms, result count: 1
[SedonaDB] [cycling] query: SortRidesByHourInPeriod: 89.82916397508234ms, result count: 16
[SedonaDB] [cycling] query: RidesPastOrToUniversity: 417.7527950378135ms, result count: 42
[SedonaDB] [cycling] query: averageRideDurationToGoAtUniversityInPeriod: 7.0358068915084ms, result count: 1
[SedonaDB] [cycling] query: averageRideDurationToGoAtUniversityInPeriod: 7.393699022941291ms, result count: 1
[SedonaDB] [cycling] query: rideCrossSeveralDistrictsInPeriod: 326.2945869937539ms, result count: 41
[SedonaDB] [cycling] query: RidesPastOrToUniversity: 558.8699679356068ms, result count: 538
[SedonaDB] [cycling] query: countActiveRideInDistrict: 537.9834990017116ms, result count: 1
[SedonaDB] [cycling] query: RidesPastOrToUniversity: 857.7516300138086ms, result count: 1177
[SedonaDB] [cycling] query: rideCrossSeveralDistrictsInPeriod: 315.9615700133145ms, result count: 17
[SedonaDB] [cycling] query: averageRideDurationToGoAtUniversityInPeriod: 8.268092991784215ms, result count: 1
[SedonaDB] [cycling] query: averageRideDurationDuringDay: 4.008903983049095ms, result count: 1
[SedonaDB] [cycling] query: RidesPastOrToUniversity: 424.0245900582522ms, result count: 73
[SedonaDB] [cycling] query: RidesPastOrToUniversity: 411.4427149761468ms, result count: 3
